MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60,RL,85.0,11924,IR1,Inside,Gtl,NridgHt,Norm,1Fam,2Story,9,5,2005,2006,Hip,WdShing,Wd Shng,Ex,TA,PConc,Ex,TA,No,GLQ,998,177,1175,Ex,1182,1142,2324,1,3,0,4,Ex,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,147,21,0,7,2006,New,Partial,345000
20,RL,70.0,12968,IR2,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1962,1962,Hip,HdBoard,Plywood,TA,TA,CBlock,TA,TA,No,ALQ,737,175,912,TA,912,0,912,1,1,0,2,TA,4,Typ,0,None,Detchd,1962.0,Unf,1,352,TA,TA,140,0,0,9,2008,WD,Normal,144000
20,RL,91.0,10652,IR1,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2006,2007,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,Unf,0,1494,1494,Ex,1494,0,1494,0,2,0,3,Gd,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,160,33,0,8,2007,New,Partial,279500
20,RL,70.0,10920,IR1,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1960,1960,Hip,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,BLQ,733,520,1253,TA,1253,0,1253,1,1,1,2,TA,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,0,213,176,5,2008,WD,Normal,157000
45,RM,51.0,6120,Reg,Corner,Gtl,BrkSide,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,No,Unf,0,832,832,Ex,854,0,854,0,1,0,2,TA,5,Typ,0,None,Detchd,1991.0,Unf,2,576,TA,TA,48,112,0,7,2007,WD,Normal,132000
20,RL,70.0,11241,IR1,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,6,7,1970,1970,Gable,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,ALQ,578,426,1004,Ex,1004,0,1004,1,1,0,2,TA,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,0,0,0,3,2010,WD,Normal,149000
90,RL,72.0,10791,Reg,Inside,Gtl,Sawyer,Norm,Duplex,1Story,4,5,1967,1967,Gable,MetalSd,MetalSd,TA,TA,Slab,None,None,None,None,0,0,0,TA,1296,0,1296,0,2,0,2,TA,6,Typ,0,None,CarPort,1967.0,Unf,2,516,TA,TA,0,0,0,10,2006,WD,Normal,90000
20,RL,66.0,13695,Reg,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,5,5,2004,2004,Gable,VinylSd,VinylSd,TA,TA,PConc,TA,TA,No,GLQ,646,468,1114,Ex,1114,0,1114,1,1,1,3,Gd,6,Typ,0,None,Detchd,2004.0,Unf,2,576,TA,TA,0,102,0,6,2008,WD,Normal,159000
20,RL,70.0,7560,Reg,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1958,1965,Hip,BrkFace,Plywood,TA,TA,CBlock,TA,TA,No,LwQ,504,525,1029,TA,1339,0,1339,0,1,0,3,TA,6,Min1,0,None,Attchd,1958.0,Unf,1,294,TA,TA,0,0,0,5,2009,COD,Abnorml,139000
60,RL,101.0,14215,IR1,Corner,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2005,2006,Gable,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,1158,1158,Ex,1158,1218,2376,0,3,1,4,Gd,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,240,154,0,11,2006,New,Partial,325300
45,RM,57.0,7449,Reg,Inside,Gtl,IDOTRR,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,Unf,0,637,637,Ex,1108,0,1108,0,1,0,3,Gd,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,0,0,205,6,2007,WD,Normal,139400
20,RL,75.0,9742,Reg,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1777,1777,Ex,1795,0,1795,0,2,0,3,Gd,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,171,159,0,9,2008,WD,Normal,230000
120,RM,44.0,4224,Reg,Inside,Gtl,MeadowV,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CemntBd,CmentBd,TA,TA,PConc,Gd,TA,No,GLQ,840,200,1040,TA,1060,0,1060,1,1,0,3,TA,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,100,110,0,6,2007,WD,Normal,129900
20,RL,70.0,8246,IR1,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,8,1968,2001,Gable,Plywood,Plywood,TA,Gd,CBlock,TA,TA,Mn,Rec,188,204,1060,Ex,1060,0,1060,1,1,0,3,Gd,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,406,90,0,5,2010,WD,Normal,154000
20,RL,110.0,14230,Reg,Corner,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,1566,1566,Ex,1600,0,1600,0,2,0,3,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,0,56,0,7,2009,WD,Normal,256300
20,RL,60.0,7200,Reg,Corner,Gtl,NAmes,Norm,1Fam,1Story,5,7,1951,2000,Gable,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,Mn,BLQ,234,180,900,TA,900,0,900,0,1,0,3,Gd,5,Typ,0,None,Detchd,2005.0,Unf,2,576,TA,TA,222,32,0,5,2010,WD,Normal,134800
20,RL,98.0,11478,Reg,Inside,Gtl,NridgHt,Norm,1Fam,1Story,8,5,2007,2008,Gable,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,1218,486,1704,Ex,1704,0,1704,1,2,0,3,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,0,50,0,5,2010,WD,Normal,306000
20,RL,47.0,16321,IR1,CulDSac,Gtl,NAmes,Norm,1Fam,1Story,5,6,1957,1997,Gable,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,207,1484,TA,1600,0,1600,1,1,0,2,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,288,258,0,12,2006,WD,Normal,207500
30,RM,60.0,6324,IR1,Inside,Gtl,BrkSide,Feedr,1Fam,1Story,4,6,1927,1950,Gable,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,520,520,Fa,520,0,520,0,1,0,1,Fa,4,Typ,0,None,Detchd,1920.0,Unf,1,240,Fa,TA,49,0,87,5,2008,WD,Normal,68500
70,C (all),50.0,8500,Reg,Inside,Gtl,IDOTRR,Feedr,1Fam,2Story,4,4,1920,1950,Gambrel,BrkFace,BrkFace,TA,Fa,BrkTil,TA,TA,No,Unf,0,649,649,TA,649,668,1317,0,1,0,3,TA,6,Typ,0,None,Detchd,1920.0,Unf,1,250,TA,Fa,0,54,172,7,2008,WD,Normal,40000
20,RL,70.0,8544,IR1,CulDSac,Gtl,Sawyer,Norm,1Fam,1Story,5,6,1966,2006,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,Unf,0,1228,1228,Gd,1228,0,1228,0,1,1,3,Gd,6,Typ,0,None,Attchd,1966.0,Unf,1,271,TA,TA,0,65,0,6,2008,WD,Normal,149350
20,RL,85.0,11049,Reg,Corner,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2007,2007,Gable,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,1234,1234,Ex,1234,0,1234,0,2,0,3,Gd,7,Typ,0,None,Attchd,2007.0,RFn,2,484,TA,TA,0,30,0,1,2008,WD,Normal,179900
20,RL,70.0,10552,IR1,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1959,1959,Hip,BrkFace,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,1018,380,1398,Gd,1700,0,1700,0,1,1,4,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,0,38,0,4,2010,WD,Normal,165500
120,RL,60.0,7313,Reg,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,No,GLQ,1153,408,1561,Ex,1561,0,1561,1,2,0,2,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2,556,TA,TA,203,47,0,8,2007,WD,Normal,277500
60,RL,108.0,13418,Reg,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,1117,1117,Ex,1132,1320,2452,0,3,1,4,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3,691,TA,TA,113,32,0,9,2006,WD,Normal,309000
20,RL,112.0,10859,Reg,Corner,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1995,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,Unf,0,1097,1097,Ex,1097,0,1097,0,1,1,3,TA,6,Typ,0,None,Attchd,1995.0,Unf,2,672,TA,TA,392,64,0,6,2009,WD,Normal,145000
20,RL,74.0,8532,Reg,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1954,1990,Hip,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,1213,84,1297,Gd,1297,0,1297,0,1,0,3,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2,498,TA,TA,0,0,0,10,2009,WD,Normal,153000
20,RL,68.0,7922,Reg,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,7,1953,2007,Gable,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,No,GLQ,731,326,1057,TA,1057,0,1057,1,1,0,3,Gd,5,Typ,0,None,Detchd,1953.0,Unf,1,246,TA,TA,0,52,0,1,2010,WD,Abnorml,109000
90,RL,65.0,6040,Reg,Inside,Gtl,Edwards,Norm,Duplex,1Story,4,5,1955,1955,Gable,AsbShng,Plywood,TA,TA,PConc,None,None,None,None,0,0,0,TA,1152,0,1152,0,2,0,2,Fa,6,Typ,0,None,None,1955.0,None,0,0,None,None,0,0,0,6,2008,WD,AdjLand,82000
20,RL,84.0,8658,Reg,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1965,1965,Gable,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,No,Rec,643,445,1088,Ex,1324,0,1324,0,2,0,3,TA,6,Typ,1,TA,Attchd,1965.0,RFn,2,440,TA,TA,0,138,0,12,2006,WD,Abnorml,160000
20,RL,115.0,16905,Reg,Inside,Gtl,Timber,Norm,1Fam,1Story,5,6,1959,1959,Gable,VinylSd,VinylSd,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,383,1350,Gd,1328,0,1328,0,1,1,2,TA,5,Typ,2,Gd,Attchd,1959.0,RFn,1,308,TA,TA,0,104,0,7,2007,WD,Normal,170000
85,RL,70.0,9180,IR1,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,Av,ALQ,747,0,840,Gd,884,0,884,1,1,0,2,Gd,5,Typ,0,None,Attchd,1983.0,RFn,2,504,TA,Gd,240,0,0,12,2007,WD,Normal,144000
20,RL,70.0,9200,IR1,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,5,6,1975,1980,Hip,VinylSd,VinylSd,TA,TA,CBlock,Gd,TA,Av,LwQ,280,167,938,TA,938,0,938,1,1,0,3,TA,5,Typ,0,None,Detchd,1977.0,Unf,1,308,TA,TA,145,0,0,7,2008,WD,Normal,130250
20,RL,70.0,7945,Reg,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1959,1959,Gable,BrkFace,Wd Sdng,TA,TA,CBlock,TA,TA,No,ALQ,179,465,1150,Ex,1150,0,1150,1,1,0,3,TA,6,Typ,0,None,Attchd,1959.0,RFn,1,300,TA,TA,0,0,0,5,2006,WD,Normal,141000
120,RL,61.0,7658,Reg,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,MetalSd,MetalSd,Ex,TA,PConc,Ex,TA,No,GLQ,456,1296,1752,Ex,1752,0,1752,1,2,0,2,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2,576,TA,TA,196,82,0,2,2010,WD,Normal,319900
50,RL,48.0,12822,IR1,CulDSac,Gtl,Mitchel,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,No,GLQ,1351,83,1434,Ex,1518,631,2149,1,1,1,1,Gd,6,Typ,1,Ex,Attchd,2003.0,RFn,2,670,TA,TA,168,43,0,8,2009,WD,Abnorml,239686
20,FV,84.0,11096,Reg,Inside,Gtl,Somerst,Norm,1Fam,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,24,1632,1656,Ex,1656,0,1656,0,2,0,3,Gd,7,Typ,0,None,Attchd,2006.0,RFn,3,826,TA,TA,0,146,0,7,2007,WD,Normal,249700
190,RM,33.0,4456,Reg,Inside,Gtl,OldTown,Norm,2fmCon,2Story,4,5,1920,2008,Gable,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,No,Unf,0,736,736,Gd,736,716,1452,0,2,0,2,TA,8,Typ,0,None,None,1920.0,None,0,0,None,None,0,0,102,6,2009,New,Partial,113000
20,RL,66.0,7742,Reg,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,7,1966,1966,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,No,BLQ,763,192,955,Ex,955,0,955,1,1,0,3,TA,6,Typ,0,None,Attchd,1966.0,Unf,1,386,TA,TA,0,0,0,1,2007,WD,Normal,127000
60,RL,70.0,13869,IR2,Corner,Gtl,Gilbert,Norm,1Fam,2Story,6,6,1997,1997,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,Av,GLQ,182,612,794,Gd,794,676,1470,0,2,0,3,TA,6,Typ,0,None,Attchd,1997.0,Fin,2,388,TA,TA,0,75,0,7,2007,WD,Normal,177000
50,RM,52.0,6240,Reg,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,6,6,1934,1950,Gable,Wd Sdng,Wd Sdng,TA,TA,PConc,TA,TA,No,Unf,0,816,816,TA,816,0,1176,0,1,0,3,TA,6,Typ,1,Gd,Detchd,1985.0,Unf,2,528,TA,TA,112,0,0,9,2006,WD,Normal,114500
90,RM,110.0,8472,IR2,Corner,Mod,IDOTRR,RRNn,Duplex,1Story,5,5,1963,1963,Gable,Wd Sdng,Wd Sdng,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,0,816,TA,816,0,816,1,1,0,2,TA,5,Typ,0,None,CarPort,1963.0,Unf,2,516,TA,TA,106,0,0,5,2010,WD,Normal,110000
20,RL,68.0,50271,IR1,Inside,Gtl,Veenker,Norm,1Fam,1Story,9,5,1981,1987,Gable,WdShing,Wd Shng,Gd,TA,CBlock,Ex,TA,Gd,GLQ,1810,32,1842,Gd,1842,0,1842,2,0,1,0,Gd,5,Typ,1,Gd,Attchd,1981.0,Fin,3,894,TA,TA,857,72,0,11,2006,WD,Normal,385000
80,RL,60.0,7134,Reg,Inside,Mod,NAmes,Norm,1Fam,SLvl,5,5,1955,1955,Gable,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,No,ALQ,384,0,384,TA,1360,0,1360,0,1,0,3,TA,6,Min1,1,TA,Detchd,1962.0,Unf,2,572,TA,TA,0,50,0,2,2007,WD,Normal,130000
20,RL,100.0,10175,IR1,Inside,Gtl,NAmes,Norm,1Fam,1Story,6,5,1964,1964,Gable,HdBoard,Plywood,TA,TA,CBlock,TA,TA,No,BLQ,490,935,1425,Gd,1425,0,1425,0,2,0,3,TA,7,Typ,1,Gd,Attchd,1964.0,RFn,2,576,TA,TA,0,0,0,7,2008,WD,Normal,180500
160,FV,24.0,2645,Reg,Inside,Gtl,Somerst,Norm,Twnhs,2Story,8,5,1999,2000,Gable,MetalSd,MetalSd,Gd,TA,PConc,Gd,TA,No,GLQ,649,321,970,Ex,983,756,1739,1,2,1,3,Gd,7,Typ,0,None,Attchd,1999.0,Fin,2,480,TA,TA,115,0,0,8,2009,WD,Abnorml,172500
60,RL,89.0,11645,IR1,Corner,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,No,Unf,0,860,860,Ex,860,860,1720,0,2,1,3,Gd,7,Typ,0,None,Attchd,2004.0,RFn,2,565,TA,TA,0,70,0,8,2006,WD,Normal,196500
60,RL,66.0,13682,IR2,CulDSac,Gtl,StoneBr,Norm,1Fam,2Story,10,5,2006,2006,Hip,VinylSd,VinylSd,Ex,TA,PConc,Ex,TA,Gd,Unf,0,1410,1410,Ex,1426,1519,2945,0,3,1,3,Gd,10,Typ,1,Gd,BuiltIn,2006.0,Fin,3,641,TA,TA,192,0,37,10,2006,New,Partial,438780
20,RL,60.0,7200,Reg,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,7,1972,1972,Gable,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Av,ALQ,632,148,780,Ex,780,0,780,0,1,0,2,TA,4,Typ,0,None,Detchd,1973.0,Unf,1,352,TA,TA,196,0,0,1,2008,WD,Normal,124900
20,RL,63.0,13072,Reg,Inside,Gtl,SawyerW,RRAe,1Fam,1Story,6,5,2004,2004,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,ALQ,941,217,1158,Ex,1158,0,1158,1,1,1,3,Gd,5,Typ,0,None,Detchd,2006.0,Unf,2,576,TA,TA,0,50,0,5,2006,New,Partial,158000
75,RM,60.0,7200,Reg,Inside,Gtl,IDOTRR,Norm,1Fam,2.5Unf,5,7,1920,1996,Gable,MetalSd,MetalSd,TA,TA,BrkTil,TA,Fa,No,Unf,0,530,530,TA,581,530,1111,0,1,0,3,Fa,6,Typ,0,None,Detchd,1935.0,Unf,1,288,TA,TA,0,0,144,3,2007,WD,Normal,101000
120,RL,44.0,6442,IR1,Inside,Gtl,NridgHt,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,Gd,Mn,GLQ,24,1346,1370,Ex,1370,0,1370,0,2,0,2,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2,484,TA,TA,120,49,0,10,2007,WD,Normal,202500
70,RM,50.0,10300,IR1,Inside,Gtl,OldTown,RRAn,1Fam,2Story,7,6,1921,1950,Gable,Stucco,Stucco,TA,TA,BrkTil,TA,TA,No,Unf,0,576,576,Gd,902,808,1710,0,2,0,3,TA,9,Typ,0,None,Detchd,1990.0,Unf,2,480,TA,TA,12,11,64,4,2010,WD,Normal,140000
60,RL,70.0,9375,Reg,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,1997,1998,Gable,VinylSd,VinylSd,TA,TA,PConc,Gd,TA,No,GLQ,739,318,1057,Ex,1057,977,2034,1,2,1,3,Gd,8,Typ,0,None,Attchd,1998.0,RFn,2,645,TA,TA,576,36,0,2,2009,WD,Normal,219500
60,RL,76.0,9591,Reg,Inside,Gtl,NridgHt,Norm,1Fam,2Story,8,5,2004,2005,Gable,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Av,Unf,0,1143,1143,Ex,1143,1330,2473,0,2,1,4,Gd,9,Typ,1,Gd,BuiltIn,2004.0,RFn,3,852,TA,TA,192,151,0,10,2007,WD,Normal,317000
20,RL,70.0,19900,Reg,Inside,Gtl,NAmes,PosA,1Fam,1Story,7,5,1970,1989,Gable,Plywood,Plywood,TA,TA,CBlock,Gd,TA,Gd,GLQ,912,1035,1947,TA,2207,0,2207,1,2,0,3,TA,7,Min1,1,Gd,Attchd,1970.0,RFn,2,576,TA,TA,301,0,0,7,2010,WD,Normal,180000
20,RL,72.0,10665,IR1,Inside,Gtl,CollgCr,Norm,1Fam,1Story,7,5,2003,2003,Gable,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,1013,440,1453,Ex,1479,0,1479,1,2,0,3,Gd,7,Typ,0,None,Attchd,2003.0,RFn,2,558,TA,TA,144,29,0,6,2007,WD,Normal,226000
30,RM,47.0,4608,Reg,Corner,Gtl,OldTown,Artery,1Fam,1Story,4,6,1945,1950,Gable,MetalSd,MetalSd,TA,Gd,CBlock,TA,TA,No,Unf,0,747,747,TA,747,0,747,0,1,0,2,TA,4,Typ,0,None,Attchd,1945.0,Unf,1,220,TA,TA,0,0,0,6,2010,WD,Normal,80000
50,RL,81.0,15593,Reg,Corner,Gtl,ClearCr,Norm,1Fam,1.5Fin,7,4,1953,1953,Gable,BrkFace,AsbShng,Gd,TA,CBlock,TA,TA,No,BLQ,603,701,1304,TA,1304,983,2287,0,2,0,3,TA,7,Typ,1,TA,Attchd,1953.0,Fin,2,667,TA,TA,0,21,114,7,2006,WD,Normal,225000
20,RL,95.0,13651,IR1,Inside,Gtl,NAmes,Norm,1Fam,1Story,7,6,1973,1973,Gable,Plywood,Plywood,TA,Gd,CBlock,Gd,TA,Gd,ALQ,1880,343,2223,Ex,2223,0,2223,1,2,0,3,TA,8,Typ,2,Gd,Attchd,1973.0,Fin,2,516,TA,TA,300,0,0,2,2007,WD,Normal,244000
20,RL,69.0,7599,Reg,Corner,Gtl,Mitchel,Norm,1Fam,1Story,4,6,1982,2006,Gable,HdBoard,Plywood,TA,TA,CBlock,TA,TA,No,ALQ,565,280,845,TA,845,0,845,1,1,0,2,TA,4,Typ,0,None,Detchd,1987.0,Unf,2,360,TA,TA,0,0,0,6,2007,WD,Normal,129500
